rank,distance_m,elapsed_time_s,moving_time_s,start_elevation_m,end_elevation_m,net_dz_m,ascent_crossed_m,descent_m,mean_speed_km_h,max_speed_km_h,max_free_speed_km_h,min_speed_before_stop_km_h,braking_constrained,braking_energy_j,braking_distance_m,active_constraints,braking_substeps,restart_count,distance_to_5kmh_m,distance_to_1kmh_m,distance_to_030ms_m,surface_mix,surface_assumed_share,termination,stop_reason,start_lat,start_lon,end_lat,end_lon,start_offset_m,roads,edges_used,osm_way_ids,start_osm_url,edge_ids,scenario
11,2700.8,272.5,272.5,1216.6,968.4,-248.2,12.4,260.6,35.69,63.63,63.66,4.3,True,85364.5,479.9,32,1044,0,1856.9,,,asphalt_good=100%,0.0,no_admissible_continuation,route_end,45.157599,6.073429,45.149578,6.054621,0.0,D 43a,19,1082733498;1082749713;1082749716;1082749715;1082749714;1082749720;1082749721;236754704,https://www.openstreetmap.org/way/1082733498,osm-1082733498-2-forward;osm-1082749713-0-forward;osm-1082749713-1-forward;osm-1082749713-2-forward;osm-1082749713-3-forward;osm-1082749716-0-forward;osm-1082749715-0-forward;osm-1082749715-1-forward;osm-1082749715-2-forward;osm-1082749715-3-forward;osm-1082749715-4-forward;osm-1082749714-0-forward;osm-1082749720-1-reverse;osm-1082749720-0-reverse;osm-1082749721-0-forward;osm-236754704-0-forward;osm-236754704-1-forward;osm-236754704-2-forward;osm-236754704-3-forward,paved_reference
12,2642.0,271.1,271.1,1195.2,980.0,-215.2,8.0,223.2,35.08,68.89,69.14,14.35,True,70739.6,492.5,28,1168,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.055265,6.054072,45.069866,6.053394,0.0,Chemin Louis Frederic Vieux > Route de Maronne > Place de la Fontaine > Route de Maronne > D 211a,13,483124975;232729093;1093032921;1093032922;1093032929;1093032928;1148550235;1148550234;187058987,https://www.openstreetmap.org/way/483124975,osm-483124975-0-reverse;osm-232729093-2-forward;osm-1093032921-0-forward;osm-1093032922-0-forward;osm-1093032929-1-forward;osm-1093032929-2-forward;osm-1093032928-0-forward;osm-1093032928-1-forward;osm-1148550235-0-forward;osm-1148550235-1-forward;osm-1148550235-2-forward;osm-1148550234-0-forward;osm-187058987-0-forward,paved_reference
13,2622.3,239.1,239.1,983.8,723.1,-260.6,1.6,262.2,39.48,58.28,58.3,15.0,True,77698.2,499.9,29,1188,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.067344,6.044125,45.064366,6.039174,0.0,D 211,8,1408117697;1093032931;1408117701;1408117702;1408117698;1462422581;1408117700;184567301,https://www.openstreetmap.org/way/1408117697,osm-1408117697-0-forward;osm-1093032931-0-forward;osm-1408117701-0-forward;osm-1408117702-0-forward;osm-1408117698-0-forward;osm-1462422581-0-forward;osm-1408117700-0-forward;osm-184567301-0-forward,paved_reference
14,2587.5,301.2,301.2,1555.3,1369.2,-186.1,20.4,206.5,30.93,51.8,51.8,0.04,True,52526.4,330.8,19,879,0,2586.2,2587.4,2587.4,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.09611,6.163504,45.072947,6.156701,0.0,unclassified > D 25A,7,132974155;224234410;359882603;232744091;1444245431;219661707;224234409,https://www.openstreetmap.org/way/132974155,osm-132974155-0-reverse;osm-224234410-0-forward;osm-359882603-0-forward;osm-232744091-0-forward;osm-1444245431-0-forward;osm-219661707-0-forward;osm-224234409-0-forward,paved_reference
15,2558.0,257.5,257.5,1194.5,980.0,-214.6,7.2,221.8,35.76,68.89,69.14,15.0,True,71854.2,516.4,29,1254,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.056385,6.053089,45.069866,6.053394,0.0,Route de Maronne > Place de la Fontaine > Route de Maronne > D 211a,13,232729093;1093032921;1093032922;1093032929;1093032928;1148550235;1148550234;187058987,https://www.openstreetmap.org/way/232729093,osm-232729093-1-forward;osm-232729093-2-forward;osm-1093032921-0-forward;osm-1093032922-0-forward;osm-1093032929-1-forward;osm-1093032929-2-forward;osm-1093032928-0-forward;osm-1093032928-1-forward;osm-1148550235-0-forward;osm-1148550235-1-forward;osm-1148550235-2-forward;osm-1148550234-0-forward;osm-187058987-0-forward,paved_reference
16,2373.2,220.0,220.0,1827.9,1600.0,-227.9,0.3,228.2,38.84,60.14,60.18,15.0,True,57888.2,263.9,17,653,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.093237,6.067371,45.086881,6.058396,0.0,Chemin des Bergers > Chemin du Chamont > D 211,19,105307283;105310862;119437611;264130580;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/105307283,osm-105307283-2-reverse;osm-105310862-0-forward;osm-105310862-1-forward;osm-119437611-0-forward;osm-264130580-1-forward;osm-264130580-2-forward;osm-724634109-0-forward;osm-724634109-1-forward;osm-724634109-2-forward;osm-724634109-3-forward;osm-724634109-4-forward;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,paved_reference
17,2347.8,221.2,221.2,1180.2,980.0,-200.2,7.2,207.4,38.22,68.89,69.14,15.0,True,62363.1,411.6,23,844,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.054825,6.05471,45.069866,6.053394,0.0,D 211a,10,1093032929;1093032928;1148550235;1148550234;187058987,https://www.openstreetmap.org/way/1093032929,osm-1093032929-0-forward;osm-1093032929-1-forward;osm-1093032929-2-forward;osm-1093032928-0-forward;osm-1093032928-1-forward;osm-1148550235-0-forward;osm-1148550235-1-forward;osm-1148550235-2-forward;osm-1148550234-0-forward;osm-187058987-0-forward,paved_reference
18,2296.4,235.9,235.9,1216.6,1054.1,-162.4,78.2,240.6,35.04,63.63,63.66,0.07,True,65848.1,410.3,30,877,0,1856.9,2296.3,2296.2,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.157599,6.073429,45.152007,6.072441,0.0,D 43a > Route de l'Enversin,14,1082733498;1082749713;1082749716;1082749715;1082749714;1082749717;97976238,https://www.openstreetmap.org/way/1082733498,osm-1082733498-2-forward;osm-1082749713-0-forward;osm-1082749713-1-forward;osm-1082749713-2-forward;osm-1082749713-3-forward;osm-1082749716-0-forward;osm-1082749715-0-forward;osm-1082749715-1-forward;osm-1082749715-2-forward;osm-1082749715-3-forward;osm-1082749715-4-forward;osm-1082749714-0-forward;osm-1082749717-0-forward;osm-97976238-0-forward,paved_reference
19,2278.2,315.6,315.6,1909.6,1810.3,-99.3,19.6,118.9,25.99,47.16,47.16,0.1,True,20948.6,145.5,12,353,0,2277.6,2278.2,2278.2,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.10331,6.066727,45.091948,6.066536,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,31,905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;76178976;105307283,https://www.openstreetmap.org/way/905944752,osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-76178976-0-forward;osm-105307283-0-forward,paved_reference
20,2236.4,285.6,285.6,1909.6,1780.0,-129.7,1.4,131.1,28.19,51.65,51.77,9.3,True,24086.0,158.3,12,360,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.10331,6.066727,45.090272,6.065647,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,33,905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107,https://www.openstreetmap.org/way/905944752,osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward,paved_reference
1,6291.2,710.7,710.7,2043.3,1600.0,-443.3,7.5,450.8,31.87,68.29,68.49,8.62,True,93855.0,513.5,32,1337,0,,,,asphalt_degraded=34%;asphalt_good=66%,0.343,network_end,route_end,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,61,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;724628366;264130580;93964270;105506488;93964252;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-93964270-0-forward;osm-105506488-2-reverse;osm-105506488-1-reverse;osm-93964252-1-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
2,6253.6,685.0,685.0,2043.3,1600.0,-443.3,2.8,446.1,32.86,56.88,56.88,6.91,True,81597.0,441.1,28,1183,0,,,,asphalt_degraded=32%;asphalt_good=68%,0.316,network_end,route_end,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,57,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;724628366;264130580;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-724628366-0-forward;osm-264130580-0-forward;osm-264130580-1-forward;osm-264130580-2-forward;osm-724634109-0-forward;osm-724634109-1-forward;osm-724634109-2-forward;osm-724634109-3-forward;osm-724634109-4-forward;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
3,6174.7,686.3,686.3,2043.3,1600.0,-443.3,5.7,449.0,32.39,68.29,68.49,9.3,True,95638.1,568.3,37,1504,0,,,,asphalt_degraded=34%;asphalt_good=66%,0.343,network_end,route_end,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,60,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;47637754;264100596;105500336;105506488;93964252;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-105500336-3-reverse;osm-105506488-0-forward;osm-93964252-1-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
4,6159.2,683.0,683.0,2043.3,1600.0,-443.3,5.7,449.0,32.46,68.29,68.49,9.3,True,95801.4,559.6,37,1462,0,,,,asphalt_degraded=34%;asphalt_good=66%,0.341,network_end,route_end,45.107316,6.081466,45.086881,6.058396,0.0,Route des Lacs > Rond-Point des Pistes > Rue du Pic Blanc > D 211F > Rond-Point du Tour de France > Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Avenue des Jeux > Avenue de Brandes ...,59,905950459;905944758;1082699911;905944753;905944752;234171512;40188688;222918435;1306494913;1306494907;264100535;264100533;1040486385;1040486390;28476170;91229843;1054770671;28476168;119740916;28429105;1054770672;28429107;1112039601;119437608;47637754;264100596;105500336;93964252;1054770663;1054770667;264100532;105500354;1010059118;105500342;724634109;1462422580;264100584;28437435,https://www.openstreetmap.org/way/905950459,osm-905950459-0-forward;osm-905950459-1-forward;osm-905944758-0-forward;osm-1082699911-0-forward;osm-905944753-0-forward;osm-905944752-0-forward;osm-234171512-0-forward;osm-40188688-0-forward;osm-222918435-0-forward;osm-1306494913-0-forward;osm-1306494907-0-forward;osm-264100535-0-forward;osm-264100535-1-forward;osm-264100535-2-forward;osm-264100535-3-forward;osm-264100535-4-forward;osm-264100535-5-forward;osm-264100535-6-forward;osm-264100533-0-forward;osm-1040486385-0-forward;osm-1040486390-0-forward;osm-28476170-1-reverse;osm-91229843-6-reverse;osm-1054770671-0-forward;osm-1054770671-1-forward;osm-28476168-2-forward;osm-28476168-3-forward;osm-28476168-4-forward;osm-119740916-0-forward;osm-119740916-1-forward;osm-28429105-0-forward;osm-1054770672-0-forward;osm-28429107-0-forward;osm-28429107-1-forward;osm-28429107-2-forward;osm-28429107-3-forward;osm-28429107-4-forward;osm-28429107-5-forward;osm-1112039601-0-forward;osm-119437608-0-forward;osm-47637754-0-forward;osm-264100596-0-forward;osm-105500336-3-reverse;osm-105500336-2-reverse;osm-93964252-0-reverse;osm-1054770663-0-forward;osm-1054770667-0-forward;osm-264100532-0-forward;osm-105500354-0-forward;osm-1010059118-0-forward;osm-105500342-0-reverse;osm-724634109-5-forward;osm-1462422580-0-forward;osm-1462422580-1-forward;osm-1462422580-2-forward;osm-264100584-0-forward;osm-264100584-1-forward;osm-264100584-2-forward;osm-28437435-0-forward,reference_vtc
